query_id,query,intent,difficulty,ground_truth
q77,Compare embeddings in RAG (intermediate),compare,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q78,Design prompting in RAG (beginner),design,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q79,Compare similarity in RAG (advanced),compare,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q80,Compare random forest in RAG (beginner),compare,beginner,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q81,Debug faiss in RAG (intermediate),debug,intermediate,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q82,Design vector db in RAG (intermediate),design,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q83,Compare rag in RAG (advanced),compare,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q84,Howto bm25 in RAG (advanced),howto,advanced,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q85,Compare reranker in RAG (intermediate),compare,intermediate,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q86,Howto vector db in RAG (beginner),howto,beginner,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q87,Debug reranker in RAG (advanced),debug,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q88,Optimize similarity in RAG (advanced),optimize,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q89,Debug ranking in RAG (beginner),debug,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q90,Design embeddings in RAG (beginner),design,beginner,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q91,Optimize hallucination in RAG (advanced),optimize,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q92,Debug bm25 in RAG (advanced),debug,advanced,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q93,Debug latency in RAG (beginner),debug,beginner,Use latency to improve retrieval by aligning representations and leveraging metadata.
q94,Optimize random forest in RAG (intermediate),optimize,intermediate,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q95,Debug hallucination in RAG (beginner),debug,beginner,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q96,Howto random forest in RAG (intermediate),howto,intermediate,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q97,Howto prompting in RAG (advanced),howto,advanced,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q98,Debug rag in RAG (advanced),debug,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q99,Design retrieval in RAG (advanced),design,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q100,Howto fastapi in RAG (intermediate),howto,intermediate,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q101,Optimize ranking in RAG (advanced),optimize,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q102,Debug evaluation in RAG (intermediate),debug,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q103,Design streamlit in RAG (advanced),design,advanced,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q104,Debug latency in RAG (beginner),debug,beginner,Use latency to improve retrieval by aligning representations and leveraging metadata.
q105,Debug metadata in RAG (beginner),debug,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q106,Design random forest in RAG (intermediate),design,intermediate,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q107,Compare throughput in RAG (intermediate),compare,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q108,Compare rag in RAG (intermediate),compare,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q109,Design metadata in RAG (beginner),design,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q110,Design bert in RAG (intermediate),design,intermediate,Use bert to improve retrieval by aligning representations and leveraging metadata.
q111,Howto retrieval in RAG (intermediate),howto,intermediate,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q112,Design prompting in RAG (beginner),design,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q113,Compare bm25 in RAG (intermediate),compare,intermediate,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q114,Compare bert in RAG (beginner),compare,beginner,Use bert to improve retrieval by aligning representations and leveraging metadata.
q115,Optimize embeddings in RAG (beginner),optimize,beginner,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q116,Howto rag in RAG (beginner),howto,beginner,Use rag to improve retrieval by aligning representations and leveraging metadata.
q117,Compare faiss in RAG (beginner),compare,beginner,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q118,Compare ranking in RAG (beginner),compare,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q119,Howto retrieval in RAG (advanced),howto,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q120,Howto hallucination in RAG (beginner),howto,beginner,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q121,Design similarity in RAG (advanced),design,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q122,Howto evaluation in RAG (intermediate),howto,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q123,Debug mpnet in RAG (advanced),debug,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q124,Optimize rag in RAG (beginner),optimize,beginner,Use rag to improve retrieval by aligning representations and leveraging metadata.
q125,Compare ranking in RAG (advanced),compare,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q126,Debug bert in RAG (advanced),debug,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q127,Design similarity in RAG (beginner),design,beginner,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q128,Howto throughput in RAG (intermediate),howto,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q129,Debug latency in RAG (beginner),debug,beginner,Use latency to improve retrieval by aligning representations and leveraging metadata.
q130,Howto throughput in RAG (advanced),howto,advanced,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q131,Compare bm25 in RAG (advanced),compare,advanced,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q132,Howto evaluation in RAG (beginner),howto,beginner,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q133,Optimize embeddings in RAG (intermediate),optimize,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q134,Debug reranker in RAG (beginner),debug,beginner,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q135,Debug mpnet in RAG (advanced),debug,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q136,Howto metadata in RAG (beginner),howto,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q137,Optimize rag in RAG (intermediate),optimize,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q138,Compare embeddings in RAG (beginner),compare,beginner,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q139,Howto mpnet in RAG (advanced),howto,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q140,Compare bert in RAG (advanced),compare,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q141,Howto reranker in RAG (beginner),howto,beginner,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q142,Optimize retrieval in RAG (intermediate),optimize,intermediate,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q143,Optimize similarity in RAG (intermediate),optimize,intermediate,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q144,Howto retrieval in RAG (advanced),howto,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q145,Design fastapi in RAG (advanced),design,advanced,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q146,Design mpnet in RAG (advanced),design,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q147,Howto throughput in RAG (beginner),howto,beginner,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q148,Optimize bert in RAG (advanced),optimize,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q149,Design rag in RAG (advanced),design,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q150,Howto fastapi in RAG (beginner),howto,beginner,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q151,Debug ranking in RAG (advanced),debug,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q152,Howto bert in RAG (intermediate),howto,intermediate,Use bert to improve retrieval by aligning representations and leveraging metadata.
q153,Optimize reranker in RAG (beginner),optimize,beginner,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q154,Debug vector db in RAG (intermediate),debug,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q155,Compare throughput in RAG (intermediate),compare,intermediate,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q156,Compare throughput in RAG (beginner),compare,beginner,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q157,Compare retrieval in RAG (beginner),compare,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q158,Howto reranker in RAG (advanced),howto,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q159,Design vector db in RAG (intermediate),design,intermediate,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q160,Compare rag in RAG (intermediate),compare,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q161,Howto ranking in RAG (advanced),howto,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q162,Howto hallucination in RAG (intermediate),howto,intermediate,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q163,Howto rag in RAG (intermediate),howto,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q164,Howto evaluation in RAG (intermediate),howto,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q165,Compare streamlit in RAG (beginner),compare,beginner,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q166,Debug bert in RAG (advanced),debug,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q167,Howto prompting in RAG (advanced),howto,advanced,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q168,Debug evaluation in RAG (advanced),debug,advanced,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q169,Compare evaluation in RAG (intermediate),compare,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q170,Optimize bm25 in RAG (intermediate),optimize,intermediate,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q171,Howto reranker in RAG (intermediate),howto,intermediate,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q172,Optimize retrieval in RAG (intermediate),optimize,intermediate,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q173,Design ranking in RAG (beginner),design,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q174,Compare embeddings in RAG (advanced),compare,advanced,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q175,Optimize retrieval in RAG (intermediate),optimize,intermediate,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q176,Howto throughput in RAG (beginner),howto,beginner,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q177,Howto vector db in RAG (advanced),howto,advanced,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q178,Optimize metadata in RAG (beginner),optimize,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q179,Optimize hallucination in RAG (beginner),optimize,beginner,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q180,Howto metadata in RAG (beginner),howto,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q181,Optimize hallucination in RAG (advanced),optimize,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q182,Debug metadata in RAG (intermediate),debug,intermediate,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q183,Design hallucination in RAG (advanced),design,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q184,Debug reranker in RAG (intermediate),debug,intermediate,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q185,Design reranker in RAG (advanced),design,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q186,Howto prompting in RAG (intermediate),howto,intermediate,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q187,Howto embeddings in RAG (intermediate),howto,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q188,Optimize mpnet in RAG (advanced),optimize,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q189,Optimize evaluation in RAG (intermediate),optimize,intermediate,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q190,Compare reranker in RAG (advanced),compare,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q191,Debug evaluation in RAG (beginner),debug,beginner,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q192,Design prompting in RAG (beginner),design,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q193,Optimize random forest in RAG (intermediate),optimize,intermediate,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q194,Optimize reranker in RAG (advanced),optimize,advanced,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q195,Compare metadata in RAG (beginner),compare,beginner,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q196,Compare ranking in RAG (advanced),compare,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q197,Compare rag in RAG (beginner),compare,beginner,Use rag to improve retrieval by aligning representations and leveraging metadata.
q198,Debug vector db in RAG (advanced),debug,advanced,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q199,Design retrieval in RAG (intermediate),design,intermediate,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q200,Howto latency in RAG (intermediate),howto,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q201,Howto streamlit in RAG (advanced),howto,advanced,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q202,Design faiss in RAG (advanced),design,advanced,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q203,Design streamlit in RAG (beginner),design,beginner,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q204,Debug bert in RAG (beginner),debug,beginner,Use bert to improve retrieval by aligning representations and leveraging metadata.
q205,Howto rag in RAG (advanced),howto,advanced,Use rag to improve retrieval by aligning representations and leveraging metadata.
q206,Optimize ranking in RAG (intermediate),optimize,intermediate,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q207,Debug similarity in RAG (advanced),debug,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q208,Design vector db in RAG (beginner),design,beginner,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q209,Howto fastapi in RAG (beginner),howto,beginner,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q210,Compare retrieval in RAG (advanced),compare,advanced,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
q211,Debug rag in RAG (intermediate),debug,intermediate,Use rag to improve retrieval by aligning representations and leveraging metadata.
q212,Optimize faiss in RAG (beginner),optimize,beginner,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q213,Optimize metadata in RAG (advanced),optimize,advanced,Use metadata to improve retrieval by aligning representations and leveraging metadata.
q214,Compare vector db in RAG (advanced),compare,advanced,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q215,Compare hallucination in RAG (advanced),compare,advanced,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q216,Debug latency in RAG (beginner),debug,beginner,Use latency to improve retrieval by aligning representations and leveraging metadata.
q217,Optimize similarity in RAG (beginner),optimize,beginner,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q218,Howto rag in RAG (beginner),howto,beginner,Use rag to improve retrieval by aligning representations and leveraging metadata.
q219,Howto reranker in RAG (intermediate),howto,intermediate,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q220,Howto bert in RAG (advanced),howto,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q221,Debug fastapi in RAG (advanced),debug,advanced,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q222,Design ranking in RAG (advanced),design,advanced,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q223,Debug bert in RAG (advanced),debug,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q224,Howto prompting in RAG (beginner),howto,beginner,Use prompting to improve retrieval by aligning representations and leveraging metadata.
q225,Compare random forest in RAG (advanced),compare,advanced,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q226,Design random forest in RAG (beginner),design,beginner,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q227,Optimize mpnet in RAG (beginner),optimize,beginner,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q228,Compare random forest in RAG (beginner),compare,beginner,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q229,Optimize evaluation in RAG (advanced),optimize,advanced,Use evaluation to improve retrieval by aligning representations and leveraging metadata.
q230,Compare throughput in RAG (advanced),compare,advanced,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q231,Optimize embeddings in RAG (intermediate),optimize,intermediate,Use embeddings to improve retrieval by aligning representations and leveraging metadata.
q232,Debug mpnet in RAG (advanced),debug,advanced,Use mpnet to improve retrieval by aligning representations and leveraging metadata.
q233,Compare bert in RAG (intermediate),compare,intermediate,Use bert to improve retrieval by aligning representations and leveraging metadata.
q234,Design throughput in RAG (advanced),design,advanced,Use throughput to improve retrieval by aligning representations and leveraging metadata.
q235,Compare ranking in RAG (intermediate),compare,intermediate,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q236,Debug bert in RAG (advanced),debug,advanced,Use bert to improve retrieval by aligning representations and leveraging metadata.
q237,Compare bm25 in RAG (advanced),compare,advanced,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q238,Debug bert in RAG (beginner),debug,beginner,Use bert to improve retrieval by aligning representations and leveraging metadata.
q239,Optimize bm25 in RAG (beginner),optimize,beginner,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q240,Debug ranking in RAG (beginner),debug,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q241,Howto faiss in RAG (beginner),howto,beginner,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q242,Optimize bert in RAG (intermediate),optimize,intermediate,Use bert to improve retrieval by aligning representations and leveraging metadata.
q243,Optimize vector db in RAG (advanced),optimize,advanced,Use vector db to improve retrieval by aligning representations and leveraging metadata.
q244,Debug ranking in RAG (beginner),debug,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q245,Compare latency in RAG (intermediate),compare,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q246,Optimize faiss in RAG (intermediate),optimize,intermediate,Use faiss to improve retrieval by aligning representations and leveraging metadata.
q247,Howto fastapi in RAG (intermediate),howto,intermediate,Use fastapi to improve retrieval by aligning representations and leveraging metadata.
q248,Design streamlit in RAG (advanced),design,advanced,Use streamlit to improve retrieval by aligning representations and leveraging metadata.
q249,Design bm25 in RAG (beginner),design,beginner,Use bm25 to improve retrieval by aligning representations and leveraging metadata.
q250,Optimize latency in RAG (intermediate),optimize,intermediate,Use latency to improve retrieval by aligning representations and leveraging metadata.
q251,Optimize ranking in RAG (beginner),optimize,beginner,Use ranking to improve retrieval by aligning representations and leveraging metadata.
q252,Compare reranker in RAG (intermediate),compare,intermediate,Use reranker to improve retrieval by aligning representations and leveraging metadata.
q253,Optimize random forest in RAG (intermediate),optimize,intermediate,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q254,Design random forest in RAG (advanced),design,advanced,Use random forest to improve retrieval by aligning representations and leveraging metadata.
q255,Howto similarity in RAG (advanced),howto,advanced,Use similarity to improve retrieval by aligning representations and leveraging metadata.
q256,Optimize hallucination in RAG (intermediate),optimize,intermediate,Use hallucination to improve retrieval by aligning representations and leveraging metadata.
q257,Optimize retrieval in RAG (beginner),optimize,beginner,Use retrieval to improve retrieval by aligning representations and leveraging metadata.
